"distn","param1","param2","code","message","aic","aicc","KS","n","rep","areaCorFULL","areaCorRP","plotType","piHat","mHat","AC","nHat"
"gamma",3.47459814671511,0.0971580001049836,0,"relative convergence (4)",43934.1927286001,43934.2228793539,0.0503183146840028,401,1,0.993286284683735,0.048107332043344,"FULL",0.4,312.5,0.993286284683735,314.61221685901
"gamma",3.47459814671511,0.0971580001049836,0,"relative convergence (4)",43934.1927286001,43934.2228793539,0.0503183146840028,401,1,0.993286284683735,0.048107332043344,"FULL",0.6,146.666666666667,0.993286284683735,147.658000445829
"gamma",3.47459814671511,0.0971580001049836,0,"relative convergence (4)",43934.1927286001,43934.2228793539,0.0503183146840028,401,1,0.993286284683735,0.048107332043344,"RP",0.7,181.428571428571,0.048107332043344,3771.32889566827
"gamma",3.47459814671511,0.0971580001049836,0,"relative convergence (4)",43934.1927286001,43934.2228793539,0.0503183146840028,401,1,0.993286284683735,0.048107332043344,"RP",0.9,67.7777777777778,0.048107332043344,1408.88664781308
"weibull",2.04233513822315,41.4253824023702,0,"relative convergence (4)",40901.1851218528,40901.2160496878,0.0454429028801291,391,2,0.997639333072212,0.0571099165265957,"FULL",0.4,335,0.997639333072212,335.792694708992
"weibull",2.04233513822315,41.4253824023702,0,"relative convergence (4)",40901.1851218528,40901.2160496878,0.0454429028801291,391,2,0.997639333072212,0.0571099165265957,"FULL",0.6,155,0.997639333072212,155.366769193713
"weibull",2.04233513822315,41.4253824023702,0,"relative convergence (4)",40901.1851218528,40901.2160496878,0.0454429028801291,391,2,0.997639333072212,0.0571099165265957,"RP",0.7,152.857142857143,0.0571099165265957,2676.54292203278
"weibull",2.04233513822315,41.4253824023702,0,"relative convergence (4)",40901.1851218528,40901.2160496878,0.0454429028801291,391,2,0.997639333072212,0.0571099165265957,"RP",0.9,63.3333333333333,0.0571099165265957,1108.97261255564
"gamma",3.26963215202024,0.0971989721606352,0,"relative convergence (4)",42612.3295484896,42612.3591781192,0.0306550184872694,408,3,0.99490391383797,0.0556688499976254,"FULL",0.4,325,0.99490391383797,326.66471151598
"gamma",3.26963215202024,0.0971989721606352,0,"relative convergence (4)",42612.3295484896,42612.3591781192,0.0306550184872694,408,3,0.99490391383797,0.0556688499976254,"FULL",0.6,143.333333333333,0.99490391383797,144.067513796791
"gamma",3.26963215202024,0.0971989721606352,0,"relative convergence (4)",42612.3295484896,42612.3591781192,0.0306550184872694,408,3,0.99490391383797,0.0556688499976254,"RP",0.7,188.571428571429,0.0556688499976254,3387.37783481197
"gamma",3.26963215202024,0.0971989721606352,0,"relative convergence (4)",42612.3295484896,42612.3591781192,0.0306550184872694,408,3,0.99490391383797,0.0556688499976254,"RP",0.9,66.6666666666667,0.0556688499976254,1197.55782038807
"gamma",3.28878984383644,0.101051952240302,0,"relative convergence (4)",33333.5505783779,33333.5828364424,0.0310561519005828,375,4,0.996145726515386,0.0580430245826203,"FULL",0.4,332.5,0.996145726515386,333.786504473715
"gamma",3.28878984383644,0.101051952240302,0,"relative convergence (4)",33333.5505783779,33333.5828364424,0.0310561519005828,375,4,0.996145726515386,0.0580430245826203,"FULL",0.6,128.333333333333,0.996145726515386,128.829878919679
"gamma",3.28878984383644,0.101051952240302,0,"relative convergence (4)",33333.5505783779,33333.5828364424,0.0310561519005828,375,4,0.996145726515386,0.0580430245826203,"RP",0.7,165.714285714286,0.0580430245826203,2855.02499061542
"gamma",3.28878984383644,0.101051952240302,0,"relative convergence (4)",33333.5505783779,33333.5828364424,0.0310561519005828,375,4,0.996145726515386,0.0580430245826203,"RP",0.9,54.4444444444444,0.0580430245826203,938.00150553744
"gamma",2.94563449929709,0.0862456873186663,0,"relative convergence (4)",33504.5111685054,33504.5444095026,0.0630129372990423,364,5,0.992193120865465,0.0607085216323167,"FULL",0.4,310,0.992193120865465,312.439174875144
"gamma",2.94563449929709,0.0862456873186663,0,"relative convergence (4)",33504.5111685054,33504.5444095026,0.0630129372990423,364,5,0.992193120865465,0.0607085216323167,"FULL",0.6,133.333333333333,0.992193120865465,134.382440806514
"gamma",2.94563449929709,0.0862456873186663,0,"relative convergence (4)",33504.5111685054,33504.5444095026,0.0630129372990423,364,5,0.992193120865465,0.0607085216323167,"RP",0.7,150,0.0607085216323167,2470.82280982693
"gamma",2.94563449929709,0.0862456873186663,0,"relative convergence (4)",33504.5111685054,33504.5444095026,0.0630129372990423,364,5,0.992193120865465,0.0607085216323167,"RP",0.9,61.1111111111111,0.0607085216323167,1006.63151511468
"weibull",2.02747778090242,40.855025579903,0,"relative convergence (4)",41305.7182468205,41305.7485498508,0.0231860804008914,399,6,0.997845769899139,0.0588034651714139,"FULL",0.4,352.5,0.997845769899139,353.26100549149
"weibull",2.02747778090242,40.855025579903,0,"relative convergence (4)",41305.7182468205,41305.7485498508,0.0231860804008914,399,6,0.997845769899139,0.0588034651714139,"FULL",0.6,125,0.997845769899139,125.269860103365
"weibull",2.02747778090242,40.855025579903,0,"relative convergence (4)",41305.7182468205,41305.7485498508,0.0231860804008914,399,6,0.997845769899139,0.0588034651714139,"RP",0.7,167.142857142857,0.0588034651714139,2842.39809092254
"weibull",2.02747778090242,40.855025579903,0,"relative convergence (4)",41305.7182468205,41305.7485498508,0.0231860804008914,399,6,0.997845769899139,0.0588034651714139,"RP",0.9,73.3333333333333,0.0588034651714139,1247.09203989194
"gamma",3.4382785136057,0.10798894530056,0,"relative convergence (4)",34563.1751321716,34563.2067111189,0.0536779828234121,383,7,0.997265803129512,0.0573523262053205,"FULL",0.4,295,0.997265803129512,295.808799493839
"gamma",3.4382785136057,0.10798894530056,0,"relative convergence (4)",34563.1751321716,34563.2067111189,0.0536779828234121,383,7,0.997265803129512,0.0573523262053205,"FULL",0.6,155,0.997265803129512,155.424962445915
"gamma",3.4382785136057,0.10798894530056,0,"relative convergence (4)",34563.1751321716,34563.2067111189,0.0536779828234121,383,7,0.997265803129512,0.0573523262053205,"RP",0.7,160,0.0573523262053205,2789.77350329614
"gamma",3.4382785136057,0.10798894530056,0,"relative convergence (4)",34563.1751321716,34563.2067111189,0.0536779828234121,383,7,0.997265803129512,0.0573523262053205,"RP",0.9,66.6666666666667,0.0573523262053205,1162.40562637339
"gamma",2.99871504713945,0.0748177156239955,0,"relative convergence (4)",45967.8200768699,45967.8503035701,0.0328182326701962,400,8,0.979490452416354,0.0474943890455486,"FULL",0.4,327.5,0.979490452416354,334.357521497095
"gamma",2.99871504713945,0.0748177156239955,0,"relative convergence (4)",45967.8200768699,45967.8503035701,0.0328182326701962,400,8,0.979490452416354,0.0474943890455486,"FULL",0.6,138.333333333333,0.979490452416354,141.229894576381
"gamma",2.99871504713945,0.0748177156239955,0,"relative convergence (4)",45967.8200768699,45967.8503035701,0.0328182326701962,400,8,0.979490452416354,0.0474943890455486,"RP",0.7,161.428571428571,0.0474943890455486,3398.89773660961
"gamma",2.99871504713945,0.0748177156239955,0,"relative convergence (4)",45967.8200768699,45967.8503035701,0.0328182326701962,400,8,0.979490452416354,0.0474943890455486,"RP",0.9,81.1111111111111,0.0474943890455486,1707.80407414701
"gamma",3.3134050691616,0.0948233728891182,0,"relative convergence (4)",38159.7767545963,38159.8076029253,0.0145412086637475,392,9,0.993484458583342,0.0520319995185028,"FULL",0.4,325,0.993484458583342,327.13143843582
"gamma",3.3134050691616,0.0948233728891182,0,"relative convergence (4)",38159.7767545963,38159.8076029253,0.0145412086637475,392,9,0.993484458583342,0.0520319995185028,"FULL",0.6,146.666666666667,0.993484458583342,147.628546576165
"gamma",3.3134050691616,0.0948233728891182,0,"relative convergence (4)",38159.7767545963,38159.8076029253,0.0145412086637475,392,9,0.993484458583342,0.0520319995185028,"RP",0.7,157.142857142857,0.0520319995185028,3020.11951485694
"gamma",3.3134050691616,0.0948233728891182,0,"relative convergence (4)",38159.7767545963,38159.8076029253,0.0145412086637475,392,9,0.993484458583342,0.0520319995185028,"RP",0.9,71.1111111111111,0.0520319995185028,1366.68034611708
"gamma",3.03858958312655,0.0794852973320231,0,"relative convergence (4)",45068.0843079018,45068.1143830898,0.0540781154712763,402,10,0.984957336188179,0.0500490653887498,"FULL",0.4,345,0.984957336188179,350.268978487091
"gamma",3.03858958312655,0.0794852973320231,0,"relative convergence (4)",45068.0843079018,45068.1143830898,0.0540781154712763,402,10,0.984957336188179,0.0500490653887498,"FULL",0.6,140,0.984957336188179,142.13813619766
"gamma",3.03858958312655,0.0794852973320231,0,"relative convergence (4)",45068.0843079018,45068.1143830898,0.0540781154712763,402,10,0.984957336188179,0.0500490653887498,"RP",0.7,170,0.0500490653887498,3396.66682443611
