"distn","param1","param2","code","message","aic","aicc","KS","n","rep","areaCorFULL","areaCorRP","plotType","piHat","mHat","AC","nHat"
"weibull",1.81656821977202,39.0436897619484,0,"relative convergence (4)",15421.064373956,15421.1321705662,0.101974604458796,180,1,0.995996018345137,0.0741406205634921,"FULL",0.4,122.5,0.995996018345137,122.992459551732
"weibull",1.81656821977202,39.0436897619484,0,"relative convergence (4)",15421.064373956,15421.1321705662,0.101974604458796,180,1,0.995996018345137,0.0741406205634921,"FULL",0.6,48.3333333333333,0.995996018345137,48.5276371020438
"weibull",1.81656821977202,39.0436897619484,0,"relative convergence (4)",15421.064373956,15421.1321705662,0.101974604458796,180,1,0.995996018345137,0.0741406205634921,"RP",0.7,85.7142857142857,0.0741406205634921,1156.10423898303
"weibull",1.81656821977202,39.0436897619484,0,"relative convergence (4)",15421.064373956,15421.1321705662,0.101974604458796,180,1,0.995996018345137,0.0741406205634921,"RP",0.9,46.6666666666667,0.0741406205634921,629.434530112983
"weibull",1.91383189674268,48.9604908371975,0,"relative convergence (4)",22856.403058253,22856.4627597455,0.0435784837970286,204,2,0.98021204223529,0.0510592514903426,"FULL",0.4,127.5,0.98021204223529,130.073896775689
"weibull",1.91383189674268,48.9604908371975,0,"relative convergence (4)",22856.403058253,22856.4627597455,0.0435784837970286,204,2,0.98021204223529,0.0510592514903426,"FULL",0.6,55,0.98021204223529,56.1103084130421
"weibull",1.91383189674268,48.9604908371975,0,"relative convergence (4)",22856.403058253,22856.4627597455,0.0435784837970286,204,2,0.98021204223529,0.0510592514903426,"RP",0.7,124.285714285714,0.0510592514903426,2434.14681292815
"weibull",1.91383189674268,48.9604908371975,0,"relative convergence (4)",22856.403058253,22856.4627597455,0.0435784837970286,204,2,0.98021204223529,0.0510592514903426,"RP",0.9,36.6666666666667,0.0510592514903426,718.119940978803
"weibull",1.99897390104557,38.9356925700036,0,"relative convergence (4)",17206.9798996783,17207.0411241681,0.0511927914438668,199,3,0.9986259273762,0.0639750202477761,"FULL",0.4,125,0.9986259273762,125.171995412162
"weibull",1.99897390104557,38.9356925700036,0,"relative convergence (4)",17206.9798996783,17207.0411241681,0.0511927914438668,199,3,0.9986259273762,0.0639750202477761,"FULL",0.6,55,0.9986259273762,55.0756779813514
"weibull",1.99897390104557,38.9356925700036,0,"relative convergence (4)",17206.9798996783,17207.0411241681,0.0511927914438668,199,3,0.9986259273762,0.0639750202477761,"RP",0.7,105.714285714286,0.0639750202477761,1652.43067223508
"weibull",1.99897390104557,38.9356925700036,0,"relative convergence (4)",17206.9798996783,17207.0411241681,0.0511927914438668,199,3,0.9986259273762,0.0639750202477761,"RP",0.9,46.6666666666667,0.0639750202477761,729.451377833505
"weibull",1.71795447241744,42.5991950423041,0,"relative convergence (4)",18126.6875585934,18126.7527759848,0.0456657125572896,187,4,0.986856544153701,0.0728070983022969,"FULL",0.4,127.5,0.986856544153701,129.198109649605
"weibull",1.71795447241744,42.5991950423041,0,"relative convergence (4)",18126.6875585934,18126.7527759848,0.0456657125572896,187,4,0.986856544153701,0.0728070983022969,"FULL",0.6,56.6666666666667,0.986856544153701,57.4213820664911
"weibull",1.71795447241744,42.5991950423041,0,"relative convergence (4)",18126.6875585934,18126.7527759848,0.0456657125572896,187,4,0.986856544153701,0.0728070983022969,"RP",0.7,94.2857142857143,0.0728070983022969,1295.00716941414
"weibull",1.71795447241744,42.5991950423041,0,"relative convergence (4)",18126.6875585934,18126.7527759848,0.0456657125572896,187,4,0.986856544153701,0.0728070983022969,"RP",0.9,40,0.0728070983022969,549.396980963573
"weibull",1.72984600576956,36.0163152934574,0,"relative convergence (4)",12957.2089530187,12957.2752513613,0.0339728425882401,184,5,0.997121345229527,0.0886583930941095,"FULL",0.4,125,0.997121345229527,125.36087066838
"weibull",1.72984600576956,36.0163152934574,0,"relative convergence (4)",12957.2089530187,12957.2752513613,0.0339728425882401,184,5,0.997121345229527,0.0886583930941095,"FULL",0.6,55,0.997121345229527,55.1587830940873
"weibull",1.72984600576956,36.0163152934574,0,"relative convergence (4)",12957.2089530187,12957.2752513613,0.0339728425882401,184,5,0.997121345229527,0.0886583930941095,"RP",0.7,85.7142857142857,0.0886583930941095,966.792682823626
"weibull",1.72984600576956,36.0163152934574,0,"relative convergence (4)",12957.2089530187,12957.2752513613,0.0339728425882401,184,5,0.997121345229527,0.0886583930941095,"RP",0.9,45.5555555555556,0.0886583930941095,513.832407352557
"weibull",1.58976287643794,38.0128480554371,0,"relative convergence (4)",11822.5720599241,11822.6372773154,0.0843880841386352,187,6,0.990475002585204,0.0948717987456783,"FULL",0.4,132.5,0.990475002585204,133.774198898676
"weibull",1.58976287643794,38.0128480554371,0,"relative convergence (4)",11822.5720599241,11822.6372773154,0.0843880841386352,187,6,0.990475002585204,0.0948717987456783,"FULL",0.6,60,0.990475002585204,60.5769957277025
"weibull",1.58976287643794,38.0128480554371,0,"relative convergence (4)",11822.5720599241,11822.6372773154,0.0843880841386352,187,6,0.990475002585204,0.0948717987456783,"RP",0.7,92.8571428571429,0.0948717987456783,978.764438798761
"weibull",1.58976287643794,38.0128480554371,0,"relative convergence (4)",11822.5720599241,11822.6372773154,0.0843880841386352,187,6,0.990475002585204,0.0948717987456783,"RP",0.9,36.6666666666667,0.0948717987456783,386.486470705152
