"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.476191249743669,3.56730149589824,0,"relative convergence (4)",91.8638585315249,93.5781442458106,10,"FULL",0.6,11,0.898395330183933,18.5515953909226
"gamma",2.90437226896013,0.109350910728757,0,"relative convergence (4)",103.740032447102,104.740032447102,15,"RP",0.7,11,0.088930600228164,240.95835824332
"weibull",1.81012078966353,31.6936616672615,0,"relative convergence (4)",69.3481474127473,71.062433127033,10,"RP",0.9,11,0.0971262641615853,114.398625408118
"norm",50.0944126075611,25.3645757024936,0,"relative convergence (4)",129.548861558239,130.639770649148,14,"FULL",0.4,12,0.951303512673917,36.7916227930477
"gamma",1.70856351147033,0.0128021866196501,0,"relative convergence (4)",95.3414766765017,97.0557623907874,10,"FULL",0.6,12,0.461319663438618,36.128238155806
"llog",0.443392918887234,3.30996723328607,0,"relative convergence (4)",141.174416116351,141.924416116351,19,"RP",0.7,12,0.0782425929882536,346.906411280772
"gamma",2.21892902453417,0.0788185416500947,0,"relative convergence (4)",83.07441112861,84.27441112861,13,"RP",0.9,12,0.108622511240378,132.978369580127
"weibull",1.46826570805287,39.9361952698826,0,"relative convergence (4)",127.104793399482,128.195702490391,14,"FULL",0.4,13,0.978689855798494,35.7620954101381
"weibull",1.49526639850504,25.5249623844522,0,"relative convergence (4)",60.3297369410663,63.3297369410663,7,"FULL",0.6,13,0.99954921142779,11.6719282385323
"llog",0.531270251607051,3.21516737334052,0,"relative convergence (4)",140.555532537796,141.222199204462,21,"RP",0.7,13,0.114018897711905,263.11427844007
"weibull",2.2730031482748,15.8718584621278,0,"relative convergence (4)",60.2185648528934,61.9328505671791,10,"RP",0.9,13,0.189420699876591,58.6583785106383
"norm",32.1529991859182,20.7641316816141,0,"relative convergence (4)",115.439758067244,116.639758067244,13,"FULL",0.4,14,0.9387050294977,34.6221645551326
"llog",0.555336875360484,3.31446352514125,0,"relative convergence (4)",72.9155894154015,75.3155894154015,8,"FULL",0.6,14,0.910860471363624,14.6381731917429
"gamma",2.39310941548183,0.0715458245341881,0,"relative convergence (4)",101.512996107214,102.603905198123,14,"RP",0.7,14,0.0789474974027679,253.332919446017
"norm",30.2300459771596,12.3105479142063,0,"relative convergence (4)",56.45271548505,59.45271548505,7,"RP",0.9,14,0.0570044814056795,136.44151452631
"norm",28.2278083035805,22.3049846784463,0,"relative convergence (4)",141.079987737976,142.003064661053,16,"FULL",0.4,15,0.896514784369433,44.6172229364116
"llog",0.25737716173695,3.61525788582105,0,"relative convergence (4)",53.978905570889,57.978905570889,6,"FULL",0.6,15,0.979085051839883,10.2136172758517
"llog",0.478011599242911,3.83186631510744,0,"relative convergence (4)",146.285289549021,147.085289549021,18,"RP",0.7,15,0.0425760904117655,603.960708125042
"weibull",1.85289960153731,51.4060321375475,0,"X-convergence (3)",47.7522706929322,51.7522706929322,6,"RP",0.9,15,0.0506092878595329,131.728126370206
"norm",42.7639581158382,19.3056627296536,0,"relative convergence (4)",81.7150794024608,83.7150794024608,9,"FULL",0.4,16,0.985108619397474,22.8401209338334
"weibull",2.83667624830588,39.7281125141605,0,"relative convergence (4)",76.9404854506197,78.9404854506197,9,"FULL",0.6,16,0.999998895436053,15.0000165684775
"norm",28.0328502661534,12.7698578243934,0,"relative convergence (4)",144.742388980285,145.448271333227,20,"RP",0.7,16,0.0706819957998054,404.224983294929
"llog",0.563684287797971,4.02114602311203,0,"relative convergence (4)",45.7047450294832,49.7047450294832,6,"RP",0.9,16,0.043981062936252,151.580389867558
"llog",0.459077502130046,3.50045435964198,0,"relative convergence (4)",91.2133996244226,92.9276853387083,10,"FULL",0.4,17,0.917312668213377,27.2535209272665
"norm",34.4088195710319,22.4923381801049,0,"relative convergence (4)",73.6803625202528,76.0803625202528,8,"FULL",0.6,17,0.935195239864912,14.2572724549575
"gamma",1.66821902923443,0.0472990695926168,0,"both X-convergence and relative convergence (5)",143.291150360049,143.922729307417,22,"RP",0.7,17,0.11279716711185,278.62908469507
"norm",442.782942430141,442.419355047214,0,"X-convergence (3)",76.4030705118771,77.7364038452104,12,"RP",0.9,17,0.00500994727568631,2661.37198649597
"norm",39.7397774027614,16.3612605629876,0,"relative convergence (4)",112.673881126937,113.873881126937,13,"FULL",0.4,18,0.992312327157352,32.7517850081554
"gamma",2.22173259909707,0.0373034324642931,0,"relative convergence (4)",58.3196622478606,62.3196622478606,6,"FULL",0.6,18,0.855593594768678,11.6877920325054
"gamma",1.66759527504486,0.0707661125562493,0,"relative convergence (4)",71.5353419869005,72.8686753202338,12,"RP",0.7,18,0.179183077138262,95.6723001783773
"norm",45.8983730217848,33.8138590119605,0,"relative convergence (4)",51.9819243817171,54.9819243817171,7,"RP",0.9,18,0.0565779994540379,137.470003408236
"llog",0.657084280791422,10.6118704749828,0,"X-convergence (3)",103.741238624639,105.074571957973,12,"FULL",0.4,19,0.00010712085759708,280057.503953531
"gamma",4.64518941973346,0.0593206621742506,0,"relative convergence (4)",56.6751734853652,60.6751734853652,6,"FULL",0.6,19,0.758533406970315,13.1833349831504
"gamma",3.63195505932989,0.227319003236479,0,"relative convergence (4)",86.1590802271761,87.1590802271761,15,"RP",0.7,19,0.16280455174933,131.621451601458
"weibull",2.57525821259601,8.45470937537096,0,"relative convergence (4)",43.5550527162668,45.5550527162668,9,"RP",0.9,19,0.456236546239878,21.9184545438459
"norm",66.4794962636975,40.0059163077109,0,"relative convergence (4)",131.495749689015,132.586658779925,14,"FULL",0.4,20,0.750671085906273,46.6249475397671
"weibull",2.14814532294455,44.7424412186569,0,"relative convergence (4)",55.9633932156862,59.9633932156862,6,"FULL",0.6,20,0.99640194739581,10.0361104533526
"gamma",2.50105689680063,0.0681526677189474,0,"relative convergence (4)",151.696496893875,152.363163560541,21,"RP",0.7,20,0.0659449841946477,454.924667378037
"llog",0.632419353615866,8.29584707983292,0,"relative convergence (4)",66.0591919026531,68.4591919026531,8,"RP",0.9,20,9.90664209871058e-05,89726.557195862
"norm",63.2976300773118,32.4655589380558,0,"relative convergence (4)",58.2569399632787,62.2569399632787,6,"FULL",0.4,21,0.84526075425756,17.7460031409779
"weibull",4.85049726267203,24.6878803576415,0,"relative convergence (4)",29.1658719690957,41.1658719690957,4,"FULL",0.6,21,1,6.66666666666667
"weibull",1.71607306694193,28.4408641754464,0,"relative convergence (4)",105.679577750786,106.602654673863,16,"RP",0.7,21,0.120283982569868,190.026488721108
"norm",21.2477196633629,9.47114713874854,0,"both X-convergence and relative convergence (5)",50.3381955908831,53.3381955908831,7,"RP",0.9,21,0.0955853470185679,81.3699800270318
"weibull",2.75805138618388,44.0958375281642,0,"relative convergence (4)",112.011782209076,113.211782209076,13,"FULL",0.4,22,0.999929989567226,32.5022754983738
"gamma",3.83189835194651,0.120293795364809,0,"relative convergence (4)",61.4548766738649,64.4548766738649,7,"FULL",0.6,22,0.998214745907835,11.6875318807841
