"distn","param1","param2","code","message","aic","aicc","KS","n","rep","areaCorFULL","areaCorRP","plotType","piHat","mHat","AC","nHat"
"weibull",1.66751231943416,59.2811093200318,0,"relative convergence (4)",7089.75224058784,7089.98753470549,0.0291870757218692,54,1,0.908504859147597,0.0507792240936702,"FULL",0.4,27.5,0.908504859147597,30.2695133912677
"weibull",1.66751231943416,59.2811093200318,0,"relative convergence (4)",7089.75224058784,7089.98753470549,0.0291870757218692,54,1,0.908504859147597,0.0507792240936702,"FULL",0.6,13.3333333333333,0.908504859147597,14.6761277048571
"weibull",1.66751231943416,59.2811093200318,0,"relative convergence (4)",7089.75224058784,7089.98753470549,0.0291870757218692,54,1,0.908504859147597,0.0507792240936702,"RP",0.7,30,0.0507792240936702,590.79280031259
"weibull",1.66751231943416,59.2811093200318,0,"relative convergence (4)",7089.75224058784,7089.98753470549,0.0291870757218692,54,1,0.908504859147597,0.0507792240936702,"RP",0.9,15.5555555555556,0.0507792240936702,306.337007569491
"norm",56.6247694661966,30.9636708346255,0,"relative convergence (4)",3776.88233636028,3777.19002866797,0.20146074772613,42,2,0.88565079372789,0.0389684710254111,"FULL",0.4,32.5,0.88565079372789,36.6961789343638
"norm",56.6247694661966,30.9636708346255,0,"relative convergence (4)",3776.88233636028,3777.19002866797,0.20146074772613,42,2,0.88565079372789,0.0389684710254111,"FULL",0.6,13.3333333333333,0.88565079372789,15.054842639739
"norm",56.6247694661966,30.9636708346255,0,"relative convergence (4)",3776.88233636028,3777.19002866797,0.20146074772613,42,2,0.88565079372789,0.0389684710254111,"RP",0.7,24.2857142857143,0.0389684710254111,623.214451238739
"norm",56.6247694661966,30.9636708346255,0,"relative convergence (4)",3776.88233636028,3777.19002866797,0.20146074772613,42,2,0.88565079372789,0.0389684710254111,"RP",0.9,4.44444444444444,0.0389684710254111,114.052317873756
"norm",34.3312664993344,16.1486236489648,0,"relative convergence (4)",3502.77806886814,3503.03338801708,0.0667017163441736,50,3,0.983222686481533,0.0582427490123753,"FULL",0.4,42.5,0.983222686481533,43.2252027789213
"norm",34.3312664993344,16.1486236489648,0,"relative convergence (4)",3502.77806886814,3503.03338801708,0.0667017163441736,50,3,0.983222686481533,0.0582427490123753,"FULL",0.6,10,0.983222686481533,10.1706359479815
"norm",34.3312664993344,16.1486236489648,0,"relative convergence (4)",3502.77806886814,3503.03338801708,0.0667017163441736,50,3,0.983222686481533,0.0582427490123753,"RP",0.7,18.5714285714286,0.0582427490123753,318.862500248444
"norm",34.3312664993344,16.1486236489648,0,"relative convergence (4)",3502.77806886814,3503.03338801708,0.0667017163441736,50,3,0.983222686481533,0.0582427490123753,"RP",0.9,15.5555555555556,0.0582427490123753,267.081410464509
"weibull",1.84129071262416,41.1450252287176,0,"relative convergence (4)",5253.31576707596,5253.60845000279,0.0680640276314686,44,4,0.994085993329368,0.067883306328474,"FULL",0.4,30,0.994085993329368,30.1784757066386
"weibull",1.84129071262416,41.1450252287176,0,"relative convergence (4)",5253.31576707596,5253.60845000279,0.0680640276314686,44,4,0.994085993329368,0.067883306328474,"FULL",0.6,10,0.994085993329368,10.0594919022129
"weibull",1.84129071262416,41.1450252287176,0,"relative convergence (4)",5253.31576707596,5253.60845000279,0.0680640276314686,44,4,0.994085993329368,0.067883306328474,"RP",0.7,24.2857142857143,0.067883306328474,357.75679764625
"weibull",1.84129071262416,41.1450252287176,0,"relative convergence (4)",5253.31576707596,5253.60845000279,0.0680640276314686,44,4,0.994085993329368,0.067883306328474,"RP",0.9,10,0.067883306328474,147.311622560221
"norm",41.2892552021474,20.2934525395487,0,"relative convergence (4)",5136.8786356686,5137.10085789082,0.0669192763542011,57,5,0.977147547490745,0.049816898091833,"FULL",0.4,35,0.977147547490745,35.8185415190141
"norm",41.2892552021474,20.2934525395487,0,"relative convergence (4)",5136.8786356686,5137.10085789082,0.0669192763542011,57,5,0.977147547490745,0.049816898091833,"FULL",0.6,16.6666666666667,0.977147547490745,17.0564483423876
"norm",41.2892552021474,20.2934525395487,0,"relative convergence (4)",5136.8786356686,5137.10085789082,0.0669192763542011,57,5,0.977147547490745,0.049816898091833,"RP",0.7,32.8571428571429,0.049816898091833,659.558184385018
"norm",41.2892552021474,20.2934525395487,0,"relative convergence (4)",5136.8786356686,5137.10085789082,0.0669192763542011,57,5,0.977147547490745,0.049816898091833,"RP",0.9,11.1111111111111,0.049816898091833,223.038999550489
"norm",31.0167835332628,15.0894879698128,0,"relative convergence (4)",3127.00995017588,3127.2956644616,0.21220645112013,45,6,0.98008330244204,0.0674583726419966,"FULL",0.4,20,0.98008330244204,20.406428668019
"norm",31.0167835332628,15.0894879698128,0,"relative convergence (4)",3127.00995017588,3127.2956644616,0.21220645112013,45,6,0.98008330244204,0.0674583726419966,"FULL",0.6,16.6666666666667,0.98008330244204,17.0053572233492
"norm",31.0167835332628,15.0894879698128,0,"relative convergence (4)",3127.00995017588,3127.2956644616,0.21220645112013,45,6,0.98008330244204,0.0674583726419966,"RP",0.7,20,0.0674583726419966,296.479135453512
"norm",31.0167835332628,15.0894879698128,0,"relative convergence (4)",3127.00995017588,3127.2956644616,0.21220645112013,45,6,0.98008330244204,0.0674583726419966,"RP",0.9,14.4444444444444,0.0674583726419966,214.123820049759
"weibull",1.6426883910646,48.3454523462558,0,"relative convergence (4)",4183.07085332542,4183.30614744307,0.0590432718572527,54,7,0.963114423889244,0.0672083335930196,"FULL",0.4,37.5,0.963114423889244,38.9361835622477
